"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.84985,1.1175,0.63458,0.72587,0.94782,0.98157,0.92159,1.5049,1.0442,0.83382,1.0122,0.86731,0.76564,0.54955,0.68898,0.5409,0.6342,0.40782,1.7475,0.96675,1.0255,0.94307,2007
0.90254,0.92179,0.49077,0.75655,0.78383,1.0643,1.0096,0.94279,1.0232,0.80596,0.97555,0.61734,0.62381,0.39669,0.79315,0.21689,0.57959,0.48635,1.7282,0.8308,0.96481,0.97289,2008
0.86314,0.78921,0.76738,0.76354,0.84272,0.79919,0.9407,1.408,1.1157,0.95152,0.85072,0.68814,0.68563,0.53372,0.57281,0.22218,0.63237,0.72569,1.4751,0.86038,0.99265,1.1325,2009
0.76584,0.95407,0.55819,0.70099,1.1143,0.97772,0.97752,1.1533,1.1583,0.9952,0.62479,0.64046,0.71231,0.57531,0.73975,0.61931,0.53674,0.20059,1.6242,1.1394,0.77733,1.131,2010
0.73175,0.8379,0.65211,0.79854,0.79228,0.97391,1.0697,1.5842,1.0199,0.93214,1.1894,0.73516,0.70227,0.48205,0.7277,0.44456,0.58709,0.69273,1.4726,1.0577,0.70948,1.2121,2011
0.8197,0.84915,0.51457,0.64462,1.0393,1.0002,0.81449,1.7282,1.0254,1.0653,0.93041,0.73492,0.87745,0.58109,0.50863,0.45868,0.63594,0.64129,1.591,0.64605,0.88561,0.96068,2012
0.85839,0.88725,0.7756,0.5489,0.6277,0.86205,0.96372,1.8426,0.99452,0.93885,0.81876,0.68668,0.67028,0.84741,0.78897,0.65161,0.61222,0.32344,1.4562,0.82417,1.0144,1.1213,2013
0.77716,0.9028,0.87098,0.50892,0.96122,1.2332,0.91042,1.3531,1.1273,0.7838,0.7567,0.72352,0.90871,0.71077,0.93193,0.3437,0.61976,0.45451,1.5912,1.0476,0.87414,1.0494,2014
0.76319,0.83677,0.76543,0.73309,0.91579,0.89343,1.0903,0.72581,1.317,0.9359,0.80889,0.80102,0.67984,0.51436,0.64631,0.37212,0.52371,0.62229,1.5299,0.84797,1.1135,1.096,2015
0.86535,0.6685,0.70944,0.75961,1.0197,0.984,0.86814,1.2859,0.88343,1.0318,0.98643,0.77425,0.67824,0.57516,0.74572,0.64203,0.59635,0.51305,1.5906,0.75622,0.826,1.1099,2016
0.58653,0.67454,0.80296,0.66543,0.90419,1.0261,0.92879,0.97022,0.97012,0.87055,0.99722,0.72513,0.86133,0.56741,0.82445,0.38393,0.49245,0.56717,1.7261,0.8812,0.99128,1.0467,2017
0.9309,0.96109,0.60073,0.66957,1.1439,0.9316,0.8976,1.7313,0.96657,0.9219,0.9816,0.94564,0.95711,0.47095,0.74068,0.49712,0.50546,0.40878,1.5785,0.85434,0.96664,1.0434,2018
