"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.49798,0.50817,0.39903,0.20803,0.27001,0.24289,0.64554,0.62037,0.42625,0.43265,0.24323,0.46503,0.33407,0.26135,0.23791,0.13779,0.21382,0.18469,0.37788,0.23505,0.40711,0.23471,2014
0.34815,0.30652,0.36174,0.2409,0.19527,0.43613,0.69302,0.69522,0.50889,0.27189,0.47566,0.35685,0.52803,0.20743,0.26485,0.071989,0.16986,0.29008,0.51808,0.34468,0.2231,0.27549,2015
0.53927,0.36617,0.29768,0.1381,0.28641,0.26117,0.59953,0.53796,0.1481,0.34478,0.36312,0.40666,0.39724,0.14397,0.25308,0.17678,0.20592,0.35916,0.59069,0.34096,0.31858,0.2616,2016
0.41221,0.41026,0.31674,0.20269,0.31702,0.43642,0.58882,0.6018,0.34162,0.35015,0.38247,0.45221,0.44972,0.17004,0.23512,0.1137,0.26613,0.27623,0.52701,0.39797,0.28199,0.4754,2017
0.59335,0.36893,0.4338,0.24954,0.34032,0.44824,0.63586,0.54521,0.25938,0.40326,0.32253,0.48779,0.36043,0.15956,0.17197,0.084444,0.14036,0.26336,0.45906,0.36047,0.26044,0.27396,2018
0.40041,0.54822,0.37387,0.21815,0.25732,0.35087,0.58382,0.57571,0.29647,0.38078,0.45212,0.46626,0.40165,0.1474,0.25201,0.13257,0.18286,0.22355,0.48469,0.61376,0.36422,0.31855,2019
0.53809,0.43961,0.35423,0.20764,0.19687,0.22701,0.59568,0.53323,0.38023,0.35701,0.37238,0.36956,0.44841,0.15866,0.24391,0.13314,0.32185,0.18049,0.56866,0.39689,0.32588,0.33014,2020
0.3825,0.46198,0.27667,0.21043,0.21624,0.42777,0.64918,0.40411,0.44614,0.32979,0.27384,0.55855,0.54131,0.18364,0.17084,0.18588,0.2087,0.19211,0.63662,0.40199,0.18526,0.26015,2021
0.38337,0.26844,0.35084,0.20619,0.23861,0.16459,0.676,0.5533,0.3716,0.32498,0.32376,0.51218,0.48439,0.19677,0.19962,0.14405,0.1968,0.24474,0.52026,0.38269,0.42864,0.24873,2022
0.33525,0.32038,0.31075,0.27725,0.26925,0.49234,0.59372,0.65297,0.33799,0.41804,0.40311,0.44436,0.41589,0.16901,0.2507,0.11828,0.25936,0.27891,0.53125,0.51901,0.35513,0.43166,2023
0.35764,0.38566,0.29885,0.22779,0.23442,0.48031,0.6267,0.64934,0.27509,0.28389,0.33776,0.39638,0.43508,0.18347,0.19967,0.13343,0.30558,0.28583,0.40092,0.34353,0.40706,0.136,2024
0.45167,0.47834,0.42021,0.24368,0.15492,0.32617,0.63309,0.53429,0.33841,0.46667,0.23013,0.35393,0.47279,0.20876,0.22399,0.12885,0.21246,0.22234,0.62735,0.35954,0.28683,0.18707,2025
0.44097,0.34754,0.41449,0.16262,0.17594,0.46875,0.58647,0.80586,0.37014,0.46308,0.3791,0.54301,0.42365,0.22047,0.29444,0.21488,0.20299,0.33626,0.5401,0.15107,0.42049,0.39315,2026
0.50304,0.32787,0.41602,0.29156,0.30129,0.36851,0.71644,0.60347,0.29119,0.34724,0.18829,0.39781,0.56913,0.19827,0.19967,0.12752,0.21462,0.27791,0.51163,0.39459,0.20453,0.14524,2027
0.46279,0.42382,0.27841,0.22215,0.36057,0.55498,0.66959,0.53795,0.43933,0.25399,0.35639,0.51095,0.50371,0.19045,0.21338,0.1196,0.40776,0.28752,0.37849,0.34093,0.19641,0.38838,2028
0.42406,0.43768,0.38104,0.18411,0.35387,0.2398,0.75204,0.59235,0.36521,0.38277,0.11023,0.4387,0.38896,0.21799,0.23107,0.054226,0.36869,0.26065,0.5388,0.2872,0.24221,0.45208,2029
0.48746,0.32912,0.37481,0.15745,0.26036,0.43669,0.73238,0.58367,0.33544,0.30544,0.35815,0.40124,0.39014,0.18921,0.21749,0.16974,0.27395,0.26844,0.61385,0.58281,0.28965,0.40785,2030
0.54827,0.38416,0.21777,0.23709,0.13981,0.31937,0.62787,0.56371,0.47053,0.30196,0.35225,0.38901,0.43441,0.19476,0.22786,0.19276,0.33977,0.36134,0.56112,0.32654,0.27504,0.068531,2031
0.47624,0.33476,0.38873,0.16494,0.26174,0.33819,0.62203,0.54458,0.40733,0.25939,0.33875,0.59178,0.42953,0.17987,0.2481,0.098515,0.28504,0.17715,0.51193,0.34505,0.38992,0.21859,2032
0.34698,0.54246,0.32449,0.17683,0.16334,0.38161,0.59028,0.66913,0.36649,0.36673,0.44603,0.45231,0.43153,0.16302,0.18654,0.13843,0.25086,0.23297,0.46209,0.35853,0.2498,0.10231,2033
0.36621,0.47782,0.38032,0.17628,0.082638,0.39837,0.65675,0.67067,0.37966,0.38426,0.35379,0.35222,0.50319,0.10803,0.25612,0.18911,0.26086,0.17812,0.26886,0.39367,0.32953,0.27151,2034
0.45298,0.43535,0.29508,0.15407,0.28635,0.4124,0.5937,0.58353,0.23592,0.3665,0.30073,0.49541,0.44871,0.19873,0.26117,0.14845,0.2693,0.29215,0.56183,0.37452,0.28092,0.5029,2035
0.44704,0.55616,0.27768,0.2652,0.2452,0.40293,0.57126,0.53802,0.24319,0.20909,0.40319,0.43638,0.58957,0.15826,0.16499,0.13588,0.30084,0.16351,0.59928,0.41237,0.31233,0.42704,2036
0.35592,0.4995,0.33277,0.13245,0.15825,0.46993,0.45396,0.533,0.24213,0.30287,0.38666,0.40453,0.54016,0.15627,0.19556,0.21835,0.30291,0.3558,0.5665,0.38585,0.21833,0.4047,2037
0.41605,0.4351,0.28845,0.28925,0.25437,0.27155,0.70913,0.59823,0.36899,0.28316,0.4396,0.52816,0.42588,0.1801,0.26129,0.12726,0.28651,0.22153,0.52632,0.38497,0.48653,0.24643,2038
0.45395,0.4281,0.2961,0.21938,0.30486,0.36875,0.88121,0.60208,0.45916,0.30509,0.22099,0.36258,0.52228,0.11423,0.29759,0.15015,0.24729,0.21221,0.57161,0.43845,0.45734,0.30669,2039
0.45153,0.39792,0.34974,0.11509,0.35992,0.3948,0.60361,0.6531,0.26649,0.19723,0.28756,0.27985,0.4825,0.18491,0.18233,0.14066,0.21415,0.32373,0.4995,0.58686,0.42858,0.40011,2040
0.36224,0.41008,0.39291,0.21696,0.20369,0.34874,0.72207,0.49408,0.4096,0.34189,0.344,0.4659,0.4567,0.16073,0.2151,0.1315,0.32189,0.21215,0.47354,0.54848,0.20062,0.14764,2041
0.48135,0.44093,0.36239,0.23269,0.16236,0.53111,0.69797,0.45701,0.33531,0.27782,0.28931,0.34658,0.42939,0.16476,0.21356,0.10374,0.37526,0.20711,0.36505,0.38581,0.42626,0.45485,2042
0.43767,0.49389,0.46005,0.30514,0.24508,0.44405,0.74681,0.44113,0.33239,0.40221,0.41793,0.46469,0.49952,0.16605,0.25417,0.17404,0.2785,0.25399,0.35163,0.28038,0.38611,0.3677,2043
0.60517,0.36108,0.22897,0.18773,0.2189,0.28881,0.51493,0.60661,0.41893,0.39967,0.28865,0.33612,0.5213,0.18799,0.23429,0.12802,0.33864,0.23607,0.50403,0.5041,0.38172,0.053144,2044
0.42773,0.44068,0.39697,0.19425,0.19616,0.28898,0.53465,0.47733,0.38825,0.3099,0.3015,0.37524,0.5562,0.17698,0.21242,0.12499,0.2939,0.32601,0.48312,0.4368,0.4322,0.40315,2045
0.36209,0.31129,0.32947,0.23491,0.25279,0.32356,0.54569,0.72186,0.34522,0.3865,0.36975,0.39332,0.27328,0.14465,0.17307,0.10745,0.27504,0.24334,0.4769,0.49143,0.36117,0.59287,2046
0.36419,0.30386,0.35044,0.12535,0.16925,0.34852,0.59209,0.62925,0.24504,0.41367,0.42648,0.52765,0.45248,0.21271,0.22043,0.12491,0.26668,0.30795,0.33446,0.31916,0.33244,0.23773,2047
0.4914,0.3482,0.41613,0.24,0.30626,0.36357,0.69975,0.62013,0.35073,0.32191,0.24285,0.44861,0.45563,0.18654,0.20058,0.082249,0.30937,0.28771,0.34438,0.43588,0.39324,0.30318,2048
0.41983,0.33153,0.32273,0.13411,0.35529,0.43124,0.73909,0.62084,0.44987,0.29415,0.25948,0.46831,0.47866,0.14871,0.28783,0.1201,0.30809,0.25626,0.44989,0.32653,0.53112,0.32255,2049
0.42707,0.25576,0.44439,0.14642,0.38508,0.31935,0.655,0.61999,0.29611,0.27818,0.32116,0.57373,0.35037,0.18619,0.27424,0.1347,0.26076,0.32014,0.57471,0.35476,0.31842,0.22692,2050
0.46667,0.41197,0.34462,0.21015,0.22349,0.5958,0.71557,0.59101,0.3688,0.29349,0.31332,0.40222,0.64042,0.18061,0.23586,0.11741,0.22869,0.24055,0.41088,0.34842,0.31141,0.39277,2051
0.47564,0.5548,0.3153,0.2089,0.22041,0.54444,0.55792,0.70368,0.36602,0.33209,0.32697,0.6065,0.40559,0.14906,0.29444,0.20833,0.42396,0.30765,0.38247,0.42408,0.33901,0.30756,2052
0.40714,0.32989,0.37328,0.15423,0.20438,0.44676,0.59427,0.70841,0.29376,0.34307,0.36694,0.42747,0.31536,0.17472,0.28892,0.24297,0.32627,0.33544,0.42963,0.25775,0.31706,0.49788,2053
0.43448,0.30005,0.44022,0.24057,0.45454,0.40454,0.58557,0.56914,0.41363,0.28037,0.34858,0.3127,0.46672,0.1665,0.21714,0.17908,0.25764,0.22831,0.45325,0.35562,0.37436,0.25884,2054
0.38763,0.48615,0.39343,0.22082,0.16214,0.32124,0.57527,0.5275,0.36566,0.30573,0.44076,0.46812,0.57713,0.14904,0.20987,0.12809,0.3201,0.37507,0.52204,0.5052,0.4568,0.26559,2055
0.43635,0.33186,0.42422,0.182,0.17542,0.42609,0.59091,0.42456,0.44775,0.34414,0.46761,0.34794,0.50863,0.21427,0.24396,0.16144,0.26976,0.16279,0.29748,0.4524,0.37925,0.51439,2056
0.41484,0.44965,0.2946,0.16973,0.31943,0.31921,0.59437,0.68144,0.41067,0.25638,0.23698,0.36097,0.44712,0.18595,0.22652,0.11512,0.2647,0.25896,0.4687,0.39958,0.45041,0.3277,2057
0.40693,0.3961,0.33555,0.23856,0.13225,0.42832,0.61266,0.44004,0.28544,0.29851,0.31191,0.46032,0.34896,0.18099,0.23271,0.097058,0.25716,0.36215,0.33479,0.39027,0.34664,0.33016,2058
0.3223,0.41748,0.44837,0.1869,0.22791,0.49166,0.65076,0.57003,0.41362,0.36094,0.39615,0.39545,0.42314,0.2024,0.19071,0.16811,0.28986,0.22222,0.3978,0.46764,0.27848,0.34422,2059
0.39564,0.27932,0.33084,0.14962,0.25143,0.52596,0.51497,0.53108,0.31699,0.26736,0.30915,0.47841,0.56103,0.16986,0.22596,0.13887,0.27291,0.2875,0.20833,0.51047,0.39932,0.46541,2060
0.43425,0.41385,0.36389,0.17998,0.33453,0.27754,0.74724,0.52556,0.36204,0.36263,0.21161,0.34628,0.41673,0.18099,0.23984,0.14086,0.36019,0.2912,0.4295,0.26286,0.50192,0.30188,2061
0.41145,0.42825,0.4098,0.19876,0.20781,0.35749,0.7075,0.59468,0.21361,0.30544,0.19901,0.46584,0.36573,0.14594,0.21412,0.15173,0.20457,0.22402,0.42819,0.32566,0.30852,0.4387,2062
0.44642,0.27607,0.32131,0.14466,0.28519,0.22474,0.64367,0.55341,0.30394,0.26352,0.33461,0.29006,0.49007,0.11151,0.18669,0.16997,0.33726,0.40589,0.45777,0.34807,0.25343,0.18063,2063
0.42792,0.3947,0.30019,0.29397,0.2176,0.38286,0.57851,0.67603,0.37792,0.46803,0.40661,0.4085,0.32877,0.15584,0.20786,0.165,0.30101,0.19787,0.34946,0.41259,0.2195,0.46175,2064
0.42336,0.37874,0.36781,0.25322,0.16967,0.42166,0.66116,0.56514,0.38308,0.35638,0.42527,0.20525,0.47859,0.15998,0.26309,0.13353,0.27369,0.3466,0.34347,0.34751,0.35382,0.42813,2065
0.39413,0.38188,0.38299,0.14492,0.38102,0.36981,0.71222,0.59285,0.3242,0.25551,0.30657,0.52344,0.44849,0.14898,0.25786,0.12252,0.29364,0.29104,0.33393,0.40361,0.26236,0.45853,2066
0.43568,0.40598,0.3698,0.21777,0.21284,0.31737,0.68308,0.65137,0.30403,0.3323,0.39011,0.36539,0.46585,0.20765,0.21534,0.1287,0.32771,0.32702,0.42603,0.30196,0.24582,0.27084,2067
0.38719,0.44551,0.36851,0.15405,0.24713,0.31511,0.65754,0.71312,0.33432,0.32605,0.39352,0.39538,0.42349,0.1389,0.23121,0.1917,0.26051,0.33729,0.35231,0.36087,0.39392,0.24267,2068
0.47977,0.35529,0.40012,0.15129,0.24764,0.44109,0.58787,0.64947,0.21761,0.22298,0.33815,0.55989,0.38484,0.18385,0.2031,0.15456,0.19137,0.30719,0.4518,0.24733,0.39981,0.08583,2069
0.44568,0.34473,0.28896,0.23152,0.21304,0.36707,0.65992,0.5664,0.4133,0.33392,0.38671,0.34838,0.39374,0.1531,0.21727,0.12534,0.33361,0.36678,0.52344,0.42707,0.10839,0.53922,2070
