"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.46514,0.5167,0.39898,0.54112,0.54849,0.50945,0.65724,0.93845,0.45137,0.30509,0.49735,0.51399,0.36102,0.42924,0.88612,0.32681,0.38234,0.25426,1.171,0.67646,0.36456,0.40685,2045
0.32437,0.37048,0.43991,0.43474,0.43321,0.67478,0.97754,0.91509,0.49611,0.49452,0.4877,0.61278,0.38991,0.53545,0.77706,0.5083,0.4472,0.2176,1.2401,0.66279,0.4563,0.51807,2046
0.35138,0.35115,0.38447,0.53565,0.24217,0.53664,1.026,1.0157,0.53472,0.56497,0.45834,0.32115,0.35006,0.4746,0.62114,0.35337,0.45027,0.32492,1.0561,0.65791,0.54779,0.44917,2047
0.37016,0.44475,0.42484,0.47151,0.61827,0.62465,0.94955,1.0444,0.48752,0.40246,0.34389,0.35305,0.25712,0.41597,0.72923,0.38835,0.37544,0.10083,1.008,0.88194,0.34114,0.61313,2048
0.42788,0.40577,0.34191,0.46929,0.55552,0.56989,1.1105,0.83439,0.61013,0.43308,0.39546,0.58213,0.46165,0.4275,0.69473,0.21248,0.35915,0.38726,1.2266,0.5575,0.37407,0.50163,2049
0.59139,0.37205,0.47945,0.5625,0.44351,0.48654,0.8529,1.1542,0.6449,0.46593,0.32762,0.45317,0.35931,0.46394,0.58733,0.2865,0.39753,0.36505,1.003,0.52671,0.4988,0.56774,2050
0.5629,0.54134,0.48459,0.55208,0.72266,0.77404,0.95815,1.2919,0.54646,0.68682,0.44731,0.4368,0.44186,0.46253,0.62152,0.29935,0.29302,0.24938,1.1496,0.52087,0.66204,0.63826,2051
0.44872,0.50976,0.4847,0.38424,0.50044,0.7043,0.93544,0.89332,0.52318,0.53729,0.50848,0.5578,0.47257,0.46073,0.77602,0.32664,0.382,0.3831,0.85556,0.59513,0.48174,0.52143,2052
0.44132,0.25978,0.42833,0.40317,0.65762,0.62744,1.1183,0.99772,0.85777,0.42073,0.4974,0.58151,0.53795,0.55956,0.7527,0.34849,0.3618,0.37434,0.92664,0.5406,0.6096,0.61941,2053
0.44759,0.45306,0.30432,0.45973,0.74322,0.65697,0.97488,1.0907,0.66207,0.46458,0.3983,0.56413,0.42008,0.3206,0.93836,0.42883,0.32889,0.35802,1.1441,0.52939,0.51822,0.51743,2054
0.48809,0.41341,0.43523,0.48952,0.55932,0.49702,1.1125,1.045,0.55832,0.54221,0.40364,0.55195,0.59015,0.49865,0.69309,0.40161,0.33473,0.37053,0.89665,0.68522,0.40176,0.60152,2055
0.31809,0.47921,0.44834,0.37013,0.58917,0.60963,0.8288,0.9059,0.67089,0.47371,0.4141,0.46094,0.38593,0.40964,0.57012,0.44964,0.41454,0.38313,1.0646,0.64298,0.54739,0.54493,2056
0.378,0.41407,0.22666,0.51102,0.54513,0.53506,0.78585,1.0919,0.55819,0.4339,0.44,0.42801,0.5532,0.51625,0.7142,0.3584,0.36588,0.35683,1.015,0.59114,0.6028,0.5425,2057
0.4216,0.45733,0.34603,0.49308,0.39111,0.54549,0.65326,0.67423,0.71295,0.44315,0.41236,0.38686,0.52663,0.5014,0.71713,0.32601,0.40366,0.27925,1.3231,0.55484,0.43724,0.36403,2058
0.48963,0.36093,0.39205,0.49941,0.67001,0.54038,0.76115,1.0653,0.49631,0.52156,0.53219,0.42011,0.515,0.51581,0.68486,0.45798,0.45824,0.33509,0.85281,0.71352,0.64927,0.75712,2059
0.41792,0.54847,0.35658,0.46635,0.45283,0.55624,0.87181,1.3905,0.71252,0.53688,0.36857,0.47848,0.51622,0.44541,0.57013,0.403,0.4924,0.33566,0.90671,0.42694,0.53179,0.63205,2060
