"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.52234,0.2994,0.015599,0.25559,0.59538,0.51253,0.51805,0.66195,0.35745,0.26413,0.29681,0.35684,0.16736,0.22754,0.22706,0.4626,0.024919,0.041894,0.95817,0.85006,0.65914,0.46272,2002
0.32997,0.43487,0.011544,0.20324,0.45783,0.49574,0.58262,0.69526,0.6049,0.35591,0.28256,0.52373,0.19725,0.33841,0.64917,0.37203,0.032785,0.073218,1.091,0.46735,0.75924,0.38382,2003
0.18479,0.38563,0.15985,0.38121,0.52516,0.42738,0.4832,0.65099,0.6155,0.25286,0.2785,0.24242,0.44141,0.20506,0.27384,0.49732,0.10135,-0.040206,0.46038,0.44212,0.7275,0.61851,2004
0.60114,0.5224,0.050002,0.27631,0.49815,0.48372,0.61106,0.77731,0.41045,0.22809,0.182,0.13697,0.46001,0.27442,0.2213,0.27165,0.05243,0.15454,0.69148,0.88434,0.58422,0.63781,2005
0.43078,0.45945,0.17333,0.25699,0.50475,0.46117,0.61414,0.82124,0.45702,0.36146,0.16699,0.38394,0.34161,0.48547,0.47142,0.40587,0.091789,0.024483,0.85757,0.72355,0.44686,0.52157,2006
0.18358,0.46402,0.15087,0.1672,0.48364,0.57168,0.65096,0.74112,0.5844,0.35294,0.29864,0.45489,0.39683,0.44248,0.46474,0.33087,0.022351,0.13365,0.83122,0.585,0.42527,0.64771,2007
0.60368,0.48442,0.17144,0.35203,0.4874,0.59869,0.51253,0.59622,0.71549,0.23654,0.37083,0.40555,0.3849,0.0034323,0.21882,0.039632,0.00029892,0.041994,1.1859,0.57267,0.71238,0.38971,2008
0.28365,0.51528,0.20527,0.3013,0.35886,0.49477,0.6721,0.79982,0.5277,0.27743,0.22459,0.39162,0.41289,0.36084,0.19472,0.24165,0.037096,0.116,0.89564,0.44179,0.44851,0.45373,2009
0.18347,0.56227,0.18414,0.22503,0.6483,0.34862,0.58238,0.54281,0.70974,0.47387,0.0027212,0.46581,0.39231,0.3709,0.39341,0.44888,0.02477,0.016442,1.0502,0.59809,0.4463,0.11462,2010
0.34879,0.5208,0.18257,0.41845,0.60944,0.55263,0.78078,0.72516,0.60475,0.43168,0.38119,0.47798,0.39595,0.36645,0.61337,0.36106,0.077271,0.073829,0.94256,0.75746,0.31702,0.58477,2011
0.5105,0.43528,0.29988,0.20733,0.45398,0.49189,0.53865,0.54316,0.61659,0.36639,0.27531,0.3171,0.48509,0.27271,0.2632,0.16501,0.12845,0.057031,0.74827,0.80008,0.3702,0.65527,2012
0.49333,0.44141,0.14688,0.134,0.41332,0.51783,0.66175,0.9069,0.64208,0.40958,0.38513,0.4037,0.24446,0.61675,0.41491,0.29638,0.12381,-0.011422,0.92031,0.30531,0.64343,0.29368,2013
0.44358,0.35784,0.23078,0.30779,0.42093,0.64711,0.57004,0.67681,0.6838,0.30322,0.10534,0.21565,0.37481,0.46929,0.48895,0.35312,0.10277,0.040449,0.98815,0.71613,0.65286,0.67863,2014
0.5261,0.54122,0.14058,0.27007,0.47567,0.35307,0.61662,0.42719,0.69818,0.29087,0.29222,0.29601,0.26595,0.49805,0.12064,0.21997,0.031956,-0.019973,0.93386,0.54741,0.34398,0.42984,2015
0.4185,0.30215,0.3038,0.28871,0.45825,0.4425,0.63853,0.77592,0.42465,0.36235,0.37354,0.66549,0.19275,0.47584,0.48839,0.33055,0.025842,0.089851,1.0542,0.54414,0.59491,0.66763,2016
0.40822,0.36413,0.19268,0.27152,0.43502,0.52033,0.54529,0.61709,0.55956,0.32505,0.32873,0.43711,0.43443,0.26241,0.24084,0.33237,0.031972,0.030915,1.1123,0.36366,0.48072,0.45217,2017
0.28789,0.52804,0.087584,0.18723,0.61102,0.32023,0.56511,0.58077,0.62703,0.36691,0.38891,0.41439,0.53004,0.21898,0.37208,0.53429,0.085843,0.079229,0.46804,0.25467,0.56692,0.6597,2018
0.52096,0.54075,0.19021,0.31795,0.46139,0.43836,0.4286,0.64077,0.60137,0.37426,0.32236,0.27453,0.37384,0.32752,0.38972,0.26285,-0.050429,0.11485,1.0079,0.38229,0.44561,0.51325,2019
0.33839,0.51498,0.15648,0.2649,0.44668,0.43613,0.31946,0.93232,0.46931,0.32245,0.24398,0.44647,0.45181,0.38056,0.37148,0.40369,0.060752,0.065829,0.99549,0.48093,0.67043,0.53892,2020
0.57622,0.33021,0.12659,0.28558,0.13426,0.49844,0.60319,0.60697,0.48798,0.23429,0.13088,0.375,0.43524,0.26944,0.63703,0.45862,0.0006102,0.063122,0.97707,0.73291,0.5726,0.51328,2021
0.41552,0.25531,0.13569,0.2182,0.29463,0.58019,0.48473,0.72257,0.34219,0.42194,0.28623,0.57381,0.21518,0.40218,0.2208,0.15804,-0.039512,0.0041906,0.75324,0.56875,0.59033,0.35411,2022
0.35895,0.47554,0.14926,0.14155,0.73537,0.41466,0.69471,0.54078,0.52302,0.43327,0.36001,0.31683,0.4582,0.45912,0.52334,0.36978,0.079503,0.062178,0.93271,0.63593,0.28585,0.3925,2023
0.50624,0.62678,0.16777,0.1316,0.6075,0.64559,0.62773,0.65532,0.67257,0.27832,0.23744,0.47776,0.30948,0.14417,0.47562,0.48567,0.038375,0.043906,0.94697,0.53076,0.57023,0.45136,2024
0.45562,0.39681,0.18105,0.26508,0.44776,0.50215,0.71429,0.51353,0.44243,0.28984,0.2827,0.21862,0.25767,0.42354,0.46519,0.2482,0.035825,0.11701,0.94885,0.85959,0.69231,0.47692,2025
0.53245,0.59806,0.23548,0.29289,0.66693,0.82797,0.66605,0.69971,0.44748,0.3769,0.40813,0.34729,0.29802,0.53437,0.42393,0.15622,0.036144,0.015518,0.81393,0.40615,0.71814,0.32606,2026
0.34246,0.14492,0.058979,0.35669,0.44215,0.61479,0.56365,0.9058,0.76214,0.3546,0.30707,0.26161,0.41006,0.27234,0.54065,0.33064,0.017711,0.037096,1.02,0.93352,0.55012,0.83012,2027
0.36688,0.56167,0.14635,0.22694,0.51969,0.33063,0.64119,0.65698,0.47922,0.46461,0.34159,0.31553,0.39111,0.47123,0.34799,0.27311,0.0061629,0.095244,0.7709,0.94861,0.6788,0.31922,2028
0.29757,0.52298,0.25163,0.23856,0.49907,0.37536,0.68635,0.49137,0.75155,0.35258,0.27128,0.28929,0.47643,0.38575,0.38448,0.055186,0.077403,0.11503,0.6948,0.69925,0.37142,0.84228,2029
0.58711,0.36756,0.27154,0.15903,0.44285,0.43083,0.50475,0.80556,0.57279,0.36702,0.25841,0.56968,0.51224,0.34857,0.37218,0.28903,-0.035167,0.076125,0.98908,0.34762,0.50442,0.4299,2030
0.33712,0.43562,0.39451,0.30381,0.42493,0.44939,0.60201,0.8328,0.5043,0.32455,0.32053,0.33925,0.40648,0.53776,0.30811,0.35033,0.049382,0.032184,0.6381,0.87975,0.38638,0.099379,2031
0.25613,0.53151,0.24867,0.24835,0.38308,0.43594,0.67078,0.73333,0.61828,0.26608,0.34863,0.51337,0.3307,0.22019,0.59974,0.25823,0.060508,0.15291,0.8034,0.79886,0.50062,0.35781,2032
0.29107,0.33671,0.14977,0.29685,0.65245,0.65159,0.4401,0.88813,0.66018,0.27468,0.26998,0.38992,0.33162,0.25023,0.53472,0.28136,0.019002,0.10703,0.93506,0.29266,0.63065,0.45388,2033
0.37845,0.21833,0.12111,0.28529,0.51225,0.55299,0.57976,0.77832,0.46588,0.23835,0.22488,0.4568,0.22744,0.40733,0.45493,0.39937,0.088665,0.1281,1.0437,0.64021,0.58416,0.68206,2034
0.24852,0.75326,0.18858,0.25286,0.49757,0.55213,0.67312,0.7209,0.40909,0.28695,0.3544,0.36984,0.40554,0.27314,0.28648,0.31593,0.060936,0.02123,0.88581,0.5509,0.44983,0.30569,2035
0.52953,0.55137,0.098488,0.1906,0.44866,0.47493,0.74042,0.74167,0.62016,0.28895,0.38113,0.51049,0.23746,0.29791,0.40481,0.23809,-0.01701,0.072064,0.9106,0.45896,0.73696,0.72351,2036
0.31401,0.37919,0.076055,0.16975,0.067796,0.55495,0.55105,0.66706,0.61705,0.36899,0.44593,0.13126,0.36175,0.20337,0.37693,0.34105,0.058089,0.12692,0.92897,0.63656,1.0334,0.48457,2037
0.4634,0.3197,0.20432,0.23721,0.48277,0.43718,0.7643,0.68809,0.44475,0.37453,0.40426,0.35558,0.29161,0.4056,0.48666,0.38447,0.024684,0.10336,0.9581,0.71236,0.60147,0.53825,2038
0.47294,0.20114,0.2074,0.25458,0.67468,0.2813,0.69615,0.87665,0.53141,0.44705,0.43547,0.33826,0.1992,0.47964,0.32859,0.17973,0.032724,0.10543,0.72235,0.79288,0.66173,0.6357,2039
0.63683,0.34722,0.20574,0.1402,0.54039,0.52682,0.57896,0.6146,0.35357,0.45832,0.3589,0.33697,0.44351,0.51843,0.45979,0.35328,0.046602,0.018481,1.2657,0.28397,0.65103,0.38409,2040
0.52935,0.65461,0.24446,0.37737,0.6968,0.38184,0.6348,0.70491,0.58056,0.28833,0.26526,0.21062,0.24907,0.4617,0.33286,0.26556,0.1351,0.052287,1.2906,0.81996,0.53914,0.68555,2041
0.47694,0.34951,0.10891,0.21605,0.57469,0.58647,0.57195,1.1398,0.52185,0.41559,0.37085,0.40473,0.4944,0.30645,0.51217,0.47196,0.0040738,0.0076311,0.78842,0.60215,0.55627,0.40302,2042
0.31468,0.2918,0.18295,0.28531,0.36271,0.35002,0.57634,0.91694,0.32462,0.28213,0.32221,0.4165,0.28518,0.30823,0.38147,0.13679,0.048831,0.064464,0.96605,0.6464,0.45326,0.40838,2043
0.56563,0.59715,0.15236,0.37203,0.5511,0.5189,0.60864,0.53576,0.46779,0.46971,0.21211,0.48907,0.45119,0.21519,0.63657,0.43861,-0.011657,0.027636,1.0027,0.68583,0.6326,0.34834,2044
